gender	jobcat	salary
남성	관리직	30750
남성	경영자	54875
남성	사무직	37800
남성	사무직	33450
남성	사무직	30300
여성	사무직	31500
여성	사무직	31650
여성	사무직	25200
여성	경영자	37800
여성	사무직	18750
여성	사무직	32550
여성	사무직	33300
여성	사무직	38550
남성	사무직	27450
남성	관리직	24300
남성	관리직	30750
여성	사무직	19650
남성	경영자	68750
남성	경영자	59375
남성	사무직	31500
남성	사무직	27300
남성	사무직	27000
여성	경영자	41550
여성	사무직	26250
남성	사무직	22200
남성	경영자	65000
남성	사무직	30900
여성	사무직	20100
여성	사무직	22350
여성	사무직	35550
여성	사무직	28500
여성	사무직	24450
여성	사무직	16650
남성	사무직	26700
남성	사무직	43950
남성	사무직	23700
여성	사무직	26550
남성	사무직	27600
남성	사무직	25800
남성	경영자	42300
남성	관리직	30750
여성	사무직	26700
여성	사무직	20850
남성	사무직	35250
남성	사무직	26700
여성	사무직	26550
여성	사무직	27750
여성	사무직	25050
남성	경영자	66000
남성	사무직	52650
남성	경영자	45625
남성	사무직	30900
여성	사무직	29400
여성	사무직	33300
여성	사무직	21900
여성	사무직	18150
여성	경영자	46875
남성	사무직	25500
남성	사무직	26550
남성	사무직	26700
여성	사무직	29850
남성	경영자	69250
남성	관리직	31950
남성	사무직	26250
여성	사무직	35700
여성	사무직	28500
여성	사무직	17100
남성	사무직	25200
여성	사무직	24000
여성	사무직	27450
여성	사무직	18450
남성	사무직	39300
남성	사무직	38850
남성	관리직	30750
남성	사무직	37500
남성	경영자	58750
여성	사무직	34500
여성	사무직	36000
여성	사무직	29100
여성	사무직	16500
남성	사무직	19650
여성	사무직	24750
여성	사무직	27150
여성	사무직	26400
여성	사무직	23100
남성	경영자	54900
남성	경영자	70875
남성	경영자	51250
남성	경영자	67500
남성	사무직	29340
남성	사무직	39600
남성	사무직	29100
남성	사무직	33150
남성	경영자	66750
남성	관리직	33750
남성	사무직	27300
여성	사무직	24000
여성	사무직	19800
남성	사무직	30600
남성	사무직	28950
남성	사무직	38400
남성	관리직	30750
여성	사무직	20400
여성	사무직	19200
남성	사무직	30150
남성	사무직	34620
남성	사무직	80000
남성	사무직	25350
남성	사무직	29850
여성	사무직	24000
여성	사무직	27750
여성	사무직	22350
여성	사무직	16200
여성	사무직	21900
여성	사무직	23250
여성	사무직	33900
여성	사무직	25650
여성	사무직	17250
남성	사무직	22500
남성	경영자	40200
남성	경영자	55500
남성	사무직	26550
남성	사무직	50550
남성	경영자	75000
여성	사무직	27450
여성	사무직	22650
여성	사무직	27300
여성	사무직	27750
여성	경영자	54375
여성	사무직	17400
여성	사무직	40800
여성	사무직	23100
여성	사무직	22500
여성	사무직	26700
여성	사무직	24900
여성	사무직	19650
여성	사무직	22050
여성	사무직	25500
여성	사무직	28200
여성	사무직	23100
남성	사무직	25500
여성	사무직	17100
남성	경영자	68125
남성	관리직	30600
남성	경영자	52125
남성	경영자	61875
남성	사무직	21300
여성	사무직	19650
여성	사무직	22350
여성	사무직	23400
여성	사무직	24300
여성	사무직	28500
여성	사무직	19950
여성	사무직	23400
여성	사무직	34500
여성	사무직	18150
남성	사무직	22350
남성	사무직	40200
남성	사무직	28650
남성	사무직	27750
남성	사무직	66875
남성	관리직	30000
남성	경영자	83750
남성	사무직	33900
남성	경영자	56500
여성	경영자	43000
여성	사무직	20850
여성	사무직	24450
여성	사무직	24750
남성	관리직	34500
남성	사무직	27900
남성	경영자	68125
남성	경영자	73500
남성	관리직	30750
남성	경영자	40050
남성	사무직	40350
남성	경영자	38700
남성	경영자	65000
남성	경영자	51450
남성	관리직	35250
남성	사무직	25950
남성	사무직	25050
남성	사무직	26700
남성	사무직	24000
남성	사무직	26850
여성	사무직	23400
여성	사무직	24600
여성	사무직	32550
남성	사무직	26550
남성	사무직	31500
남성	사무직	22350
남성	관리직	35250
여성	사무직	25800
남성	관리직	30750
남성	사무직	30750
남성	경영자	50000
남성	사무직	34500
남성	사무직	26250
남성	사무직	44875
여성	사무직	22500
여성	사무직	25650
여성	사무직	21300
여성	사무직	29850
여성	사무직	34500
남성	사무직	27750
남성	사무직	27750
남성	경영자	48750
남성	사무직	43410
남성	사무직	22050
여성	사무직	22050
여성	사무직	22500
여성	사무직	25500
여성	사무직	29160
여성	사무직	16800
남성	관리직	29550
남성	사무직	26700
남성	경영자	55000
남성	경영자	62500
남성	사무직	27300
여성	사무직	24450
여성	사무직	33000
여성	사무직	37050
여성	사무직	24450
남성	관리직	31950
남성	경영자	47250
여성	사무직	26100
여성	사무직	15900
여성	사무직	23700
여성	사무직	21750
남성	경영자	59400
여성	사무직	24450
남성	경영자	103500
남성	사무직	35700
여성	사무직	22200
여성	사무직	22950
여성	사무직	23100
여성	경영자	56750
여성	사무직	29100
여성	사무직	37650
여성	사무직	27900
여성	사무직	21150
남성	관리직	31200
여성	사무직	20550
남성	사무직	25950
남성	사무직	28350
여성	사무직	17700
여성	사무직	23550
여성	사무직	19950
여성	사무직	29400
여성	사무직	28800
여성	사무직	16950
남성	사무직	35700
여성	사무직	17400
여성	사무직	21450
여성	사무직	24750
여성	사무직	16950
여성	사무직	26100
남성	사무직	28050
여성	사무직	36600
여성	경영자	58125
남성	사무직	21300
남성	사무직	22500
남성	사무직	29400
남성	사무직	27450
남성	사무직	29850
남성	사무직	25350
여성	사무직	15750
여성	사무직	19650
여성	사무직	21000
남성	사무직	27000
남성	사무직	24000
남성	경영자	78500
여성	사무직	20850
남성	관리직	30000
남성	관리직	28500
남성	경영자	65000
남성	사무직	30150
남성	경영자	66875
여성	사무직	24150
여성	사무직	24450
여성	사무직	21600
여성	사무직	27900
여성	사무직	29100
여성	사무직	22650
여성	사무직	20850
여성	사무직	22950
여성	사무직	30600
여성	사무직	20400
여성	사무직	23850
여성	사무직	22800
여성	사무직	20700
여성	사무직	21300
여성	사무직	24300
여성	사무직	19650
남성	경영자	60000
남성	사무직	30300
남성	경영자	61250
남성	사무직	36000
여성	사무직	25200
여성	사무직	16200
여성	사무직	22800
여성	경영자	43500
남성	관리직	30300
남성	사무직	31950
남성	사무직	35250
남성	사무직	37800
남성	사무직	31200
남성	사무직	29400
남성	경영자	70000
남성	사무직	33900
남성	사무직	27150
여성	사무직	22200
여성	사무직	31350
여성	사무직	20850
남성	사무직	33300
남성	사무직	26250
남성	사무직	31950
남성	관리직	30000
남성	경영자	66250
남성	경영자	86250
남성	사무직	30750
남성	사무직	33540
남성	사무직	34950
남성	사무직	40350
남성	사무직	30270
남성	사무직	26250
남성	사무직	32400
여성	사무직	20400
여성	사무직	24150
여성	사무직	23850
여성	사무직	29700
여성	사무직	21600
여성	사무직	24450
남성	사무직	28050
남성	경영자	1.00E+05
남성	사무직	49000
여성	사무직	16350
남성	경영자	70000
남성	경영자	55000
남성	사무직	28500
남성	사무직	28800
남성	사무직	24450
남성	경영자	90625
남성	경영자	43650
남성	경영자	75000
남성	사무직	31650
남성	경영자	61875
여성	사무직	21750
여성	사무직	22500
여성	사무직	21600
여성	경영자	34410
여성	사무직	20700
남성	경영자	47550
남성	사무직	33900
여성	사무직	23400
여성	사무직	32850
여성	경영자	55750
여성	사무직	25200
남성	사무직	26250
남성	사무직	26400
남성	사무직	39150
여성	사무직	21450
여성	사무직	29400
