gender	jobcat	salary
咯己	荤公流	25050
巢己	版康磊	66000
巢己	荤公流	52650
巢己	版康磊	45625
巢己	荤公流	30900
咯己	荤公流	29400
咯己	荤公流	33300
咯己	荤公流	21900
咯己	荤公流	18150
咯己	版康磊	46875
巢己	荤公流	25500
巢己	荤公流	26550
巢己	荤公流	26700
咯己	荤公流	29850
巢己	版康磊	69250
巢己	包府流	31950
巢己	荤公流	26250
咯己	荤公流	35700
咯己	荤公流	28500
咯己	荤公流	17100
巢己	荤公流	25200
咯己	荤公流	24000
咯己	荤公流	27450
咯己	荤公流	18450
巢己	荤公流	39300
巢己	荤公流	38850
巢己	包府流	30750
巢己	荤公流	37500
巢己	版康磊	58750
咯己	荤公流	34500
咯己	荤公流	36000
咯己	荤公流	29100
咯己	荤公流	16500
巢己	荤公流	19650
咯己	荤公流	24750
咯己	荤公流	27150
咯己	荤公流	26400
咯己	荤公流	23100
巢己	版康磊	54900
巢己	版康磊	70875
巢己	版康磊	51250
巢己	版康磊	67500
巢己	荤公流	29340
巢己	荤公流	39600
巢己	荤公流	29100
巢己	荤公流	33150
巢己	版康磊	66750
巢己	包府流	33750
巢己	荤公流	27300
咯己	荤公流	24000
咯己	荤公流	19800
巢己	荤公流	30600
巢己	荤公流	28950
巢己	荤公流	38400
巢己	包府流	30750
咯己	荤公流	20400
咯己	荤公流	19200
巢己	荤公流	30150
巢己	荤公流	34620
巢己	荤公流	80000
巢己	荤公流	25350
巢己	荤公流	29850
咯己	荤公流	24000
咯己	荤公流	27750
咯己	荤公流	22350
咯己	荤公流	16200
咯己	荤公流	21900
咯己	荤公流	23250
咯己	荤公流	33900
咯己	荤公流	25650
咯己	荤公流	17250
巢己	荤公流	22500
巢己	版康磊	40200
巢己	版康磊	55500
巢己	荤公流	26550
巢己	荤公流	50550
巢己	版康磊	75000
咯己	荤公流	27450
咯己	荤公流	22650
咯己	荤公流	27300
咯己	荤公流	27750
咯己	版康磊	54375
咯己	荤公流	17400
咯己	荤公流	40800
咯己	荤公流	23100
咯己	荤公流	22500
咯己	荤公流	26700
咯己	荤公流	24900
咯己	荤公流	19650
咯己	荤公流	22050
咯己	荤公流	25500
咯己	荤公流	28200
咯己	荤公流	23100
巢己	荤公流	25500
咯己	荤公流	17100
巢己	版康磊	68125
巢己	包府流	30600
巢己	版康磊	52125
巢己	版康磊	61875
巢己	荤公流	21300
咯己	荤公流	19650
咯己	荤公流	22350
咯己	荤公流	23400
咯己	荤公流	24300
咯己	荤公流	28500
咯己	荤公流	19950
咯己	荤公流	23400
咯己	荤公流	34500
咯己	荤公流	18150
巢己	荤公流	22350
巢己	荤公流	40200
巢己	荤公流	28650
巢己	荤公流	27750
巢己	荤公流	66875
巢己	包府流	30000
巢己	版康磊	83750
巢己	荤公流	33900
巢己	版康磊	56500
咯己	版康磊	43000
咯己	荤公流	20850
咯己	荤公流	24450
咯己	荤公流	24750
巢己	包府流	34500
巢己	荤公流	27900
巢己	版康磊	68125
巢己	版康磊	73500
巢己	包府流	30750
巢己	版康磊	40050
巢己	荤公流	40350
巢己	版康磊	38700
巢己	版康磊	65000
巢己	版康磊	51450
巢己	包府流	35250
巢己	荤公流	25950
巢己	荤公流	25050
巢己	荤公流	26700
巢己	荤公流	24000
巢己	荤公流	26850
咯己	荤公流	23400
咯己	荤公流	24600
咯己	荤公流	32550
巢己	荤公流	26550
巢己	荤公流	31500
巢己	荤公流	22350
巢己	包府流	35250
咯己	荤公流	25800
巢己	包府流	30750
巢己	荤公流	30750
巢己	版康磊	50000
巢己	荤公流	34500
巢己	荤公流	26250
巢己	荤公流	44875
咯己	荤公流	22500
咯己	荤公流	25650
咯己	荤公流	21300
咯己	荤公流	29850
咯己	荤公流	34500
巢己	荤公流	27750
巢己	荤公流	27750
巢己	版康磊	48750
巢己	荤公流	43410
巢己	荤公流	22050
咯己	荤公流	22050
咯己	荤公流	22500
咯己	荤公流	25500
咯己	荤公流	29160
咯己	荤公流	16800
巢己	包府流	29550
巢己	荤公流	26700
巢己	版康磊	55000
巢己	版康磊	62500
巢己	荤公流	27300
咯己	荤公流	24450
咯己	荤公流	33000
咯己	荤公流	37050
咯己	荤公流	24450
巢己	包府流	31950
巢己	版康磊	47250
咯己	荤公流	26100
咯己	荤公流	15900
咯己	荤公流	23700
咯己	荤公流	21750
巢己	版康磊	59400
咯己	荤公流	24450
巢己	版康磊	103500
巢己	荤公流	35700
咯己	荤公流	22200
咯己	荤公流	22950
咯己	荤公流	23100
咯己	版康磊	56750
咯己	荤公流	29100
咯己	荤公流	37650
咯己	荤公流	27900
咯己	荤公流	21150
巢己	包府流	31200
咯己	荤公流	20550
巢己	荤公流	25950
巢己	荤公流	28350
咯己	荤公流	17700
咯己	荤公流	23550
咯己	荤公流	19950
咯己	荤公流	29400
咯己	荤公流	28800
咯己	荤公流	16950
巢己	荤公流	35700
咯己	荤公流	17400
咯己	荤公流	21450
咯己	荤公流	24750
咯己	荤公流	16950
咯己	荤公流	26100
巢己	荤公流	28050
咯己	荤公流	36600
咯己	版康磊	58125
巢己	荤公流	21300
巢己	荤公流	22500
巢己	荤公流	29400
巢己	荤公流	27450
巢己	荤公流	29850
巢己	荤公流	25350
咯己	荤公流	15750
咯己	荤公流	19650
咯己	荤公流	21000
巢己	荤公流	27000
巢己	荤公流	24000
巢己	版康磊	78500
咯己	荤公流	20850
巢己	包府流	30000
巢己	包府流	28500
巢己	版康磊	65000
巢己	荤公流	30150
巢己	版康磊	66875
咯己	荤公流	24150
咯己	荤公流	24450
咯己	荤公流	21600
咯己	荤公流	27900
咯己	荤公流	29100
咯己	荤公流	22650
咯己	荤公流	20850
咯己	荤公流	22950
咯己	荤公流	30600
咯己	荤公流	20400
咯己	荤公流	23850
咯己	荤公流	22800
咯己	荤公流	20700
咯己	荤公流	21300
咯己	荤公流	24300
咯己	荤公流	19650
巢己	版康磊	60000
巢己	荤公流	30300
巢己	版康磊	61250
巢己	荤公流	36000
咯己	荤公流	25200
咯己	荤公流	16200
咯己	荤公流	22800
咯己	版康磊	43500
巢己	包府流	30300
巢己	荤公流	31950
巢己	荤公流	35250
巢己	荤公流	37800
巢己	荤公流	31200
巢己	荤公流	29400
巢己	版康磊	70000
巢己	荤公流	33900
巢己	荤公流	27150
咯己	荤公流	22200
咯己	荤公流	31350
咯己	荤公流	20850
巢己	荤公流	33300
巢己	荤公流	26250
巢己	荤公流	31950
巢己	包府流	30000
巢己	版康磊	66250
巢己	版康磊	86250
巢己	荤公流	30750
巢己	荤公流	33540
巢己	荤公流	34950
巢己	荤公流	40350
巢己	荤公流	30270
巢己	荤公流	26250
巢己	荤公流	32400
咯己	荤公流	20400
咯己	荤公流	24150
咯己	荤公流	23850
咯己	荤公流	29700
咯己	荤公流	21600
咯己	荤公流	24450
巢己	荤公流	28050
巢己	版康磊	1.00E+05
巢己	荤公流	49000
咯己	荤公流	16350
巢己	版康磊	70000
巢己	版康磊	55000
巢己	荤公流	28500
巢己	荤公流	28800
巢己	荤公流	24450
巢己	版康磊	90625
巢己	版康磊	43650
巢己	版康磊	75000
巢己	荤公流	31650
巢己	版康磊	61875
咯己	荤公流	21750
咯己	荤公流	22500
咯己	荤公流	21600
咯己	版康磊	34410
咯己	荤公流	20700
巢己	版康磊	47550
巢己	荤公流	33900
咯己	荤公流	23400
咯己	荤公流	32850
咯己	版康磊	55750
咯己	荤公流	25200
巢己	荤公流	26250
巢己	荤公流	26400
巢己	荤公流	39150
咯己	荤公流	21450
咯己	荤公流	29400
